Age,Gender,Height,Weight,Steps_per_Day,Calories_Burned,Active_Minutes,Heart_Rate,Location,Workout_Routine
56.00,Female,183,88,10474,442.72,96,77.00,Rural,0
46.00,Male,158,69,17997,667.26,51,50.00,Urban,0
32.00,Female,166,64,6790,249.00,174,92.00,Urban,0
25.00,Female,173,87,11170,343.58,81,91.00,Suburban,0
38.00,Male,178,68,10004,329.52,,99.00,Urban,0
56.00,Female,166,38,10978,530.69,96,109.00,Urban,0
36.00,Male,150,47,17714,885.09,134,50.00,Urban,0
40.00,Non-Binary,168,76,19596,893.78,114,100.00,Urban,0
28.00,Female,183,68,8232,294.18,91,65.00,Urban,0
28.00,Female,172,91,13674,520.28,0,88.00,Urban,0
41.00,Female,172,59,17052,763.76,62,64.00,Suburban,0
53.00,Male,159,65,16774,828.14,166,82.00,Suburban,0
57.00,Female,158,56,6913,270.36,18,102.00,Suburban,0
41.00,Non-Binary,170,62,15102,703.61,30,66.00,Suburban,0
20.00,Female,155,41,16389,811.28,76,55.00,Urban,0
39.00,Female,177,64,11567,549.08,120,80.00,Urban,0
19.00,Female,161,69,6611,228.36,23,118.00,Urban,0
41.00,Male,169,67,10432,314.64,68,89.00,Rural,0
47.00,Male,151,102,1319,52.55,160,79.00,Suburban,1
55.00,Female,166,97,13686,556.02,,118.00,Urban,0
19.00,Male,158,58,5791,197.04,113,56.00,Urban,0
38.00,Female,146,39,1329,47.44,160,62.00,Rural,0
50.00,Non-Binary,175,68,9851,446.28,159,53.00,Suburban,0
29.00,Male,186,75,12310,485.10,100,99.00,Rural,0
39.00,Male,181,57,11164,405.78,168,52.00,Urban,0
42.00,Female,176,57,19177,814.11,11,61.00,Urban,0
44.00,Male,165,93,6703,288.60,118,114.00,Suburban,0
59.00,Female,178,66,11649,528.72,138,76.00,Suburban,0
45.00,Male,182,79,13672,453.01,,99.00,Suburban,0
33.00,Female,171,56,5155,231.10,146,66.00,Suburban,0
32.00,Male,158,69,3611,151.62,56,81.00,Suburban,0
20.00,Female,165,64,19977,622.31,41,100.00,Suburban,0
54.00,Female,187,59,17479,796.15,97,66.00,Urban,0
24.00,Female,169,87,10180,383.40,30,83.00,Urban,0
38.00,Male,136,49,10304,377.20,179,84.00,Rural,0
26.00,Female,155,74,15610,608.19,1,73.00,Urban,0
56.00,Female,165,64,9437,348.45,165,103.00,Suburban,0
35.00,Male,180,76,11350,417.29,31,67.00,Suburban,0
21.00,Male,167,64,13521,624.15,137,99.00,Rural,1
42.00,Male,180,83,7560,245.63,104,95.00,Urban,0
,Female,164,55,6247,308.68,135,97.00,Urban,0
26.00,Female,150,87,5077,208.66,74,82.00,Rural,0
43.00,Female,165,69,11858,399.12,104,76.00,Rural,1
19.00,Male,173,50,12391,404.25,147,50.00,Suburban,1
37.00,Male,172,80,11946,499.70,147,108.00,Urban,0
45.00,Female,157,67,16186,690.49,126,59.00,Urban,0
24.00,Female,166,44,2417,75.07,8,74.00,Suburban,0
25.00,Non-Binary,196,74,17494,609.84,14,106.00,Rural,0
52.00,Male,157,85,9954,456.98,96,115.00,Rural,0
31.00,Female,176,89,14591,452.21,104,64.00,Urban,1
34.00,Male,149,64,8391,395.23,62,77.00,Urban,0
53.00,Male,178,72,12364,533.67,20,62.00,Urban,0
57.00,Female,161,70,11371,439.93,4,63.00,Rural,0
21.00,Female,174,92,3504,129.40,124,115.00,Suburban,0
19.00,Non-Binary,157,57,6239,189.57,162,83.00,Urban,0
23.00,Male,172,63,17676,822.01,84,74.00,Urban,0
59.00,Male,160,57,19118,628.11,112,103.00,Suburban,0
21.00,Female,162,48,6120,221.49,175,61.00,Urban,0
46.00,Female,174,73,7393,305.94,79,58.00,Rural,0
